,edition,round,year,competition,score_only,team1_score,team2_score,goal_diff,team1_edit,team2_edit
0,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-1,4,1,3,France,Mexico
1,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,USA,Belgium
2,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,2-1,2,1,1,Yugoslavia,Brazil
3,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-1,3,1,2,Romania,Peru
4,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Argentina,France
5,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,Chile,Mexico
6,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Yugoslavia,Bolivia
7,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,USA,Paraguay
8,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Uruguay,Peru
9,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Chile,France
10,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,6-3,6,3,3,Argentina,Mexico
11,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Brazil,Bolivia
12,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Paraguay,Belgium
13,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Uruguay,Romania
14,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-1,3,1,2,Argentina,Chile
15,1930-URUGUAY,1/2_FINAL,1930,WorldCup,6-1,6,1,5,Argentina,USA
16,1930-URUGUAY,1/2_FINAL,1930,WorldCup,6-1,6,1,5,Uruguay,Yugoslavia
17,1930-URUGUAY,_FINAL,1930,WorldCup,4-2,4,2,2,Uruguay,Argentina
18,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,6-2,6,2,4,Sweden,Estonia
19,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,0-2,0,2,-2,Lithuania,Sweden
20,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,2-2,2,2,0,Yugoslavia,Switzerland
21,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,1-2,1,2,-1,Poland,Czechoslovakia
22,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,2-0,2,0,2,Switzerland,Romania
23,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,1-3,1,3,-2,Haiti,Cuba
24,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,1-1,1,1,0,Haiti,Cuba
25,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,0-6,0,6,-6,Haiti,Cuba
26,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-4,4,4,0,Irish Free State,Belgium
27,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,3-2,3,2,1,Mexico,Cuba
28,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,9-0,9,0,9,Spain,Portugal
29,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-9,1,9,-8,Luxembourg,Germany
30,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,5-0,5,0,5,Mexico,Cuba
31,1934-ITALY,PRELIMINARY-N.E.,1934,WorldCup,7-1,7,1,6,Egypt,Palestine
32,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-2,1,2,-1,Portugal,Spain
33,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,4-1,4,1,3,Mexico,Cuba
34,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-0,4,0,4,Italy,Greece
35,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-4,1,4,-3,Bulgaria,Hungary
36,1934-ITALY,PRELIMINARY-N.E.,1934,WorldCup,1-4,1,4,-3,Palestine,Egypt
37,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,5-2,5,2,3,Netherlands,Irish Free State
38,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-6,1,6,-5,Luxembourg,France
39,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,6-1,6,1,5,Austria,Bulgaria
40,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-1,4,1,3,Hungary,Bulgaria
41,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,2-1,2,1,1,Romania,Yugoslavia
42,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,2-4,2,4,-2,Belgium,Netherlands
43,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,4-2,4,2,2,USA,Mexico
44,1934-ITALY,FIRST,1934,WorldCup,7-1,7,1,6,Italy,USA
45,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Austria,France
46,1934-ITALY,FIRST,1934,WorldCup,5-2,5,2,3,Germany,Belgium
47,1934-ITALY,FIRST,1934,WorldCup,2-1,2,1,1,Czechoslovakia,Romania
48,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Switzerland,Netherlands
49,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Sweden,Argentina
50,1934-ITALY,FIRST,1934,WorldCup,3-1,3,1,2,Spain,Brazil
51,1934-ITALY,FIRST,1934,WorldCup,4-2,4,2,2,Hungary,Egypt
52,1934-ITALY,1/4_FINAL,1934,WorldCup,2-1,2,1,1,Austria,Hungary
53,1934-ITALY,1/4_FINAL,1934,WorldCup,3-2,3,2,1,Czechoslovakia,Switzerland
54,1934-ITALY,1/4_FINAL,1934,WorldCup,2-1,2,1,1,Germany,Sweden
55,1934-ITALY,1/4_FINAL,1934,WorldCup,1-1,1,1,0,Italy,Spain
56,1934-ITALY,1/4_FINAL,1934,WorldCup,1-0,1,0,1,Italy,Spain
57,1934-ITALY,1/2_FINAL,1934,WorldCup,1-0,1,0,1,Italy,Austria
58,1934-ITALY,1/2_FINAL,1934,WorldCup,3-1,3,1,2,Czechoslovakia,Germany
59,1934-ITALY,PLACES_3&4,1934,WorldCup,3-2,3,2,1,Germany,Austria
60,1934-ITALY,_FINAL,1934,WorldCup,2-1,2,1,1,Italy,Czechoslovakia
61,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,4-0,4,0,4,Sweden,Finland
62,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,7-2,7,2,5,Sweden,Estonia
63,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,0-2,0,2,-2,Finland,Germany
64,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,4-2,4,2,2,Latvia,Lithuania
65,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,0-1,0,1,-1,Finland,Estonia
66,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,4-1,4,1,3,Germany,Estonia
67,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,1-5,1,5,-4,Lithuania,Latvia
68,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,2-1,2,1,1,Austria,Latvia
69,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,3-2,3,2,1,Norway,Irish Free State
70,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,4-0,4,0,4,Poland,Yugoslavia
71,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,3-3,3,3,0,Irish Free State,Norway
72,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,1-1,1,1,0,Bulgaria,Czechoslovakia
73,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,5-0,5,0,5,Germany,Sweden
74,1938-FRANCE,PRELIMINARY-Europe,1937,WorldCup,4-0,4,0,4,Netherlands,Luxembourg
75,1938-FRANCE,PRELIMINARY-Eur./N.E.,1938,WorldCup,1-3,1,3,-2,Palestine,Greece
76,1938-FRANCE,PRELIMINARY-Eur./N.E.,1938,WorldCup,1-0,1,0,1,Greece,Palestine
77,1938-FRANCE,PRELIMINARY-Europe,1938,WorldCup,2-3,2,3,-1,Luxembourg,Belgium
78,1938-FRANCE,PRELIMINARY-Eur./N.E.,1938,WorldCup,11-1,11,1,10,Hungary,Greece
79,1938-FRANCE,PRELIMINARY-Europe,1938,WorldCup,1-0,1,0,1,Yugoslavia,Poland
80,1938-FRANCE,PRELIMINARY-Europe,1938,WorldCup,1-1,1,1,0,Belgium,Netherlands
81,1938-FRANCE,PRELIMINARY-Europe,1938,WorldCup,6-0,6,0,6,Czechoslovakia,Bulgaria
82,1938-FRANCE,PRELIMINARY-Europe,1938,WorldCup,2-1,2,1,1,Switzerland,Portugal
83,1938-FRANCE,FIRST,1938,WorldCup,1-1,1,1,0,Switzerland,Germany
84,1938-FRANCE,FIRST,1938,WorldCup,2-1,2,1,1,Italy,Norway
85,1938-FRANCE,FIRST,1938,WorldCup,3-1,3,1,2,France,Belgium
86,1938-FRANCE,FIRST,1938,WorldCup,6-0,6,0,6,Hungary,Dutch East Indies
87,1938-FRANCE,FIRST,1938,WorldCup,3-3,3,3,0,Cuba,Romania
88,1938-FRANCE,FIRST,1938,WorldCup,6-5,6,5,1,Brazil,Poland
89,1938-FRANCE,FIRST,1938,WorldCup,3-0,3,0,3,Czechoslovakia,Netherlands
91,1938-FRANCE,FIRST,1938,WorldCup,4-2,4,2,2,Switzerland,Germany
92,1938-FRANCE,FIRST,1938,WorldCup,2-1,2,1,1,Cuba,Romania
93,1938-FRANCE,1/4_FINAL,1938,WorldCup,3-1,3,1,2,Italy,France
94,1938-FRANCE,1/4_FINAL,1938,WorldCup,1-1,1,1,0,Brazil,Czechoslovakia
95,1938-FRANCE,1/4_FINAL,1938,WorldCup,2-0,2,0,2,Hungary,Switzerland
96,1938-FRANCE,1/4_FINAL,1938,WorldCup,8-0,8,0,8,Sweden,Cuba
97,1938-FRANCE,1/4_FINAL,1938,WorldCup,2-1,2,1,1,Brazil,Czechoslovakia
98,1938-FRANCE,1/2_FINAL,1938,WorldCup,2-1,2,1,1,Italy,Brazil
99,1938-FRANCE,1/2_FINAL,1938,WorldCup,5-1,5,1,4,Hungary,Sweden
100,1938-FRANCE,PLACES_3&4,1938,WorldCup,4-2,4,2,2,Brazil,Sweden
101,1938-FRANCE,_FINAL,1938,WorldCup,4-2,4,2,2,Italy,Hungary
102,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,3-1,3,1,2,Sweden,Ireland
103,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,5-2,5,2,3,Switzerland,Luxembourg
104,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,6-0,6,0,6,Yugoslavia,Israel
105,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,0-6,0,6,-6,USA,Mexico
106,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,3-0,3,0,3,Ireland,Finland
107,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,2-0,2,0,2,Mexico,Cuba
108,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,1-1,1,1,0,Cuba,USA
109,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,2-5,2,5,-3,Israel,Yugoslavia
110,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,2-3,2,3,-1,Luxembourg,Switzerland
111,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,6-2,6,2,4,Mexico,USA
112,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,5-2,5,2,3,USA,Cuba
113,1950-BRAZIL,PRELIMINARY-N/C.America,1949,WorldCup,0-3,0,3,-3,Cuba,Mexico
114,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,2-8,2,8,-6,Northern Ireland,Scotland
115,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,8-1,8,1,7,Sweden,Finland
116,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,1-1,1,1,0,Yugoslavia,France
117,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,1-1,1,1,0,Finland,Ireland
118,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,1-4,1,4,-3,Wales,England
119,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,1-1,1,1,0,France,Yugoslavia
120,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,2-0,2,0,2,Scotland,Wales
121,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,1-3,1,3,-2,Ireland,Sweden
122,1950-BRAZIL,PRELIMINARY-Europe,1949,WorldCup,9-2,9,2,7,England,Northern Ireland
123,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,7-0,7,0,7,Turkey,Syria
124,1950-BRAZIL,PRELIMINARY-Eur./N.E.,1949,WorldCup,3-2,3,2,1,Yugoslavia,France
125,1950-BRAZIL,PRELIMINARY-S.America,1950,WorldCup,2-0,2,0,2,Bolivia,Chile
126,1950-BRAZIL,PRELIMINARY-Europe,1950,WorldCup,0-0,0,0,0,Wales,Northern Ireland
127,1950-BRAZIL,PRELIMINARY-Europe,1950,WorldCup,5-1,5,1,4,Spain,Portugal
128,1950-BRAZIL,PRELIMINARY-Europe,1950,WorldCup,2-2,2,2,0,Portugal,Spain
129,1950-BRAZIL,PRELIMINARY-Europe,1950,WorldCup,0-1,0,1,-1,Scotland,England
130,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,4-0,4,0,4,Brazil,Mexico
131,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-0,2,0,2,England,Chile
132,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,3-1,3,1,2,Spain,USA
133,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,3-2,3,2,1,Sweden,Italy
134,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,3-0,3,0,3,Yugoslavia,Switzerland
135,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-2,2,2,0,Brazil,Switzerland
136,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,4-1,4,1,3,Yugoslavia,Mexico
137,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-0,2,0,2,Spain,Chile
138,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-2,2,2,0,Sweden,Paraguay
139,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,1-0,1,0,1,USA,England
140,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-0,2,0,2,Brazil,Yugoslavia
141,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,1-0,1,0,1,Spain,England
142,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-0,2,0,2,Italy,Paraguay
143,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,8-0,8,0,8,Uruguay,Bolivia
144,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,2-1,2,1,1,Switzerland,Mexico
145,1950-BRAZIL,GROUP_STAGE,1950,WorldCup,5-2,5,2,3,Chile,USA
146,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,7-1,7,1,6,Brazil,Sweden
147,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,2-2,2,2,0,Uruguay,Spain
148,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,3-2,3,2,1,Uruguay,Sweden
149,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,6-1,6,1,5,Brazil,Spain
150,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,3-1,3,1,2,Sweden,Spain
151,1950-BRAZIL,FINAL_ROUND,1950,WorldCup,2-1,2,1,1,Uruguay,Brazil
152,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1953,WorldCup,1-0,1,0,1,Yugoslavia,Greece
153,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-4,2,4,-2,Finland,Belgium
154,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-3,2,3,-1,Sweden,Belgium
155,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-0,2,0,2,Czechoslovakia,Romania
156,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-3,2,3,-1,Norway,Saarland
157,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-1,3,1,2,Romania,Bulgaria
158,1954-SWITZERLAND,PRELIMINARY-N/C.America,1953,WorldCup,8-0,8,0,8,Mexico,Haiti
159,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-3,3,3,0,Finland,Sweden
160,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,4-0,4,0,4,Sweden,Finland
161,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-1,1,1,0,Norway,FRG
162,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-2,1,2,-1,Bulgaria,Czechoslovakia
163,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-6,1,6,-5,Luxembourg,France
164,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-2,2,2,0,Belgium,Finland
165,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,9-1,9,1,8,Austria,Portugal
166,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-3,1,3,-2,Northern Ireland,Scotland
167,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-5,3,5,-2,Ireland,France
168,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,2-0,2,0,2,Belgium,Sweden
169,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-4,1,4,-3,Wales,England
170,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-0,3,0,3,FRG,Saarland
171,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-2,1,2,-1,Bulgaria,Romania
172,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,0-1,0,1,-1,Romania,Czechoslovakia
173,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,4-0,4,0,4,Ireland,Luxembourg
174,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1953,WorldCup,1-0,1,0,1,Greece,Israel
175,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-3,3,3,0,Scotland,Wales
176,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,0-0,0,0,0,Saarland,Norway
177,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,0-0,0,0,0,Czechoslovakia,Bulgaria
178,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1953,WorldCup,1-0,1,0,1,Yugoslavia,Israel
179,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,3-1,3,1,2,England,Northern Ireland
180,1954-SWITZERLAND,PRELIMINARY-Eu./Afr.,1953,WorldCup,1-2,1,2,-1,Egypt,Italy
181,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,5-1,5,1,4,FRG,Norway
182,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,1-0,1,0,1,France,Ireland
183,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,0-0,0,0,0,Portugal,Austria
184,1954-SWITZERLAND,PRELIMINARY-Europe,1953,WorldCup,8-0,8,0,8,France,Luxembourg
185,1954-SWITZERLAND,PRELIMINARY-N/C.America,1953,WorldCup,0-4,0,4,-4,Haiti,Mexico
186,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,4-1,4,1,3,Spain,Turkey
187,1954-SWITZERLAND,PRELIMINARY-N/C.America,1954,WorldCup,0-4,0,4,-4,USA,Mexico
188,1954-SWITZERLAND,PRELIMINARY-N/C.America,1954,WorldCup,3-1,3,1,2,Mexico,USA
189,1954-SWITZERLAND,PRELIMINARY-Eu./Afr.,1954,WorldCup,5-1,5,1,4,Italy,Egypt
190,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,4-0,4,0,4,Paraguay,Chile
191,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,1-3,1,3,-2,Chile,Paraguay
192,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,0-2,0,2,-2,Chile,Brazil
193,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,0-1,0,1,-1,Luxembourg,Ireland
194,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,0-1,0,1,-1,Paraguay,Brazil
195,1954-SWITZERLAND,PRELIMINARY-Asia,1954,WorldCup,1-5,1,5,-4,Japan,South Korea
196,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1954,WorldCup,0-2,0,2,-2,Israel,Greece
197,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,1-0,1,0,1,Turkey,Spain
198,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,1-0,1,0,1,Brazil,Chile
199,1954-SWITZERLAND,PRELIMINARY-Asia,1954,WorldCup,2-2,2,2,0,South Korea,Japan
200,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,2-2,2,2,0,Turkey,Spain
201,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1954,WorldCup,0-1,0,1,-1,Israel,Yugoslavia
202,1954-SWITZERLAND,PRELIMINARY-S.America,1954,WorldCup,4-1,4,1,3,Brazil,Paraguay
203,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,1-3,1,3,-2,Saarland,FRG
204,1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1954,WorldCup,0-1,0,1,-1,Greece,Yugoslavia
205,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,1-2,1,2,-1,Wales,Northern Ireland
206,1954-SWITZERLAND,PRELIMINARY-Europe,1954,WorldCup,2-4,2,4,-2,Scotland,England
207,1954-SWITZERLAND,PRELIMINARY-N/C.America,1954,WorldCup,2-3,2,3,-1,Haiti,USA
208,1954-SWITZERLAND,PRELIMINARY-N/C.America,1954,WorldCup,3-0,3,0,3,USA,Haiti
209,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,1-0,1,0,1,Yugoslavia,France
210,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,5-0,5,0,5,Brazil,Mexico
211,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,1-0,1,0,1,Austria,Scotland
212,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,2-0,2,0,2,Uruguay,Czechoslovakia
213,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,2-1,2,1,1,Switzerland,Italy
214,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,9-0,9,0,9,Hungary,South Korea
215,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,4-1,4,1,3,FRG,Turkey
216,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,4-4,4,4,0,England,Belgium
217,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,7-0,7,0,7,Uruguay,Scotland
218,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,1-1,1,1,0,Brazil,Yugoslavia
219,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,5-0,5,0,5,Austria,Czechoslovakia
220,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,3-2,3,2,1,France,Mexico
221,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,8-3,8,3,5,Hungary,FRG
222,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,7-0,7,0,7,Turkey,South Korea
223,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,4-1,4,1,3,Italy,Belgium
224,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,2-0,2,0,2,England,Switzerland
225,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,7-2,7,2,5,FRG,Turkey
226,1954-SWITZERLAND,GROUP_STAGE,1954,WorldCup,4-1,4,1,3,Switzerland,Italy
227,1954-SWITZERLAND,1/4_FINAL,1954,WorldCup,4-2,4,2,2,Uruguay,England
228,1954-SWITZERLAND,1/4_FINAL,1954,WorldCup,7-5,7,5,2,Austria,Switzerland
229,1954-SWITZERLAND,1/4_FINAL,1954,WorldCup,4-2,4,2,2,Hungary,Brazil
230,1954-SWITZERLAND,1/4_FINAL,1954,WorldCup,2-0,2,0,2,FRG,Yugoslavia
231,1954-SWITZERLAND,1/2_FINAL,1954,WorldCup,4-2,4,2,2,Hungary,Uruguay
232,1954-SWITZERLAND,1/2_FINAL,1954,WorldCup,6-1,6,1,5,FRG,Austria
233,1954-SWITZERLAND,PLACES_3&4,1954,WorldCup,3-1,3,1,2,Austria,Uruguay
234,1954-SWITZERLAND,_FINAL,1954,WorldCup,3-2,3,2,1,FRG,Hungary
235,1958-SWEDEN,PRELIMINARY-Europe,1956,WorldCup,7-0,7,0,7,Austria,Luxembourg
236,1958-SWEDEN,PRELIMINARY-Europe,1956,WorldCup,2-1,2,1,1,Ireland,Denmark
237,1958-SWEDEN,PRELIMINARY-Europe,1956,WorldCup,6-3,6,3,3,France,Belgium
238,1958-SWEDEN,PRELIMINARY-Europe,1956,WorldCup,5-2,5,2,3,England,Denmark
239,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-1,1,1,0,Portugal,Northern Ireland
240,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,2-6,2,6,-4,Guatemala,Costa Rica
241,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,3-1,3,1,2,Costa Rica,Guatemala
242,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,4-0,4,0,4,Costa Rica,Curaçao
243,1958-SWEDEN,PRELIMINARY-Afr./As.,1957,WorldCup,1-0,1,0,1,Sudan,Syria
244,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,2-2,2,2,0,Spain,Switzerland
245,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,1-3,1,3,-2,Guatemala,Curaçao
246,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,4-1,4,1,3,Netherlands,Luxembourg
247,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,6-0,6,0,6,Mexico,USA
248,1958-SWEDEN,PRELIMINARY-S.America,1957,WorldCup,1-1,1,1,0,Peru,Brazil
249,1958-SWEDEN,PRELIMINARY-S.America,1957,WorldCup,1-0,1,0,1,Brazil,Peru
250,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-0,1,0,1,Italy,Northern Ireland
251,1958-SWEDEN,PRELIMINARY-N/C.America,1957,WorldCup,2-7,2,7,-5,USA,Mexico
252,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-0,1,0,1,Wales,Czechoslovakia
253,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,3-0,3,0,3,Northern Ireland,Portugal
254,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,0-0,0,0,0,Greece,Yugoslavia
255,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,5-1,5,1,4,England,Ireland
256,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,4-2,4,2,2,Scotland,Spain
257,1958-SWEDEN,PRELIMINARY-Afr./As.,1957,WorldCup,2-0,2,0,2,Indonesia,China
258,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-4,1,4,-3,Denmark,England
259,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-1,1,1,0,Ireland,England
260,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,2-1,2,1,1,GDR,Wales
261,1958-SWEDEN,PRELIMINARY-Europe,1957,WorldCup,1-2,1,2,-1,Switzerland,Scotland
